model,question,pearson_r,MAE,bias,n
Claude Haiku,Q1,0.782,3.94,-3.01,120
Claude Haiku,Q2,0.665,3.45,-2.75,117
Claude Haiku,Q3,0.783,2.67,-2.24,117
Claude Haiku,Q4,0.814,1.5,-1.16,117
Claude Haiku,Q5,0.686,4.58,-0.75,117
Claude Haiku,Q6,0.688,7.88,-4.06,117
Claude Opus,Q1,0.805,2.95,-0.84,120
Claude Opus,Q2,0.791,1.97,-0.45,120
Claude Opus,Q3,0.747,3.12,-2.4,120
Claude Opus,Q4,0.88,1.58,-0.36,120
Claude Opus,Q5,0.76,4.11,-0.28,120
Claude Opus,Q6,0.825,5.17,0.01,120
Claude Sonnet,Q1,0.841,2.78,-1.15,120
Claude Sonnet,Q2,0.778,2.51,-1.4,120
Claude Sonnet,Q3,0.727,2.87,-2.29,120
Claude Sonnet,Q4,0.872,1.31,-0.37,120
Claude Sonnet,Q5,0.758,4.53,-0.48,120
Claude Sonnet,Q6,0.803,5.9,-0.78,120
GPT-4o,Q1,0.661,4.67,-3.0,120
GPT-4o,Q2,0.52,4.41,-2.18,120
GPT-4o,Q3,0.602,3.92,-3.25,120
GPT-4o,Q4,0.539,3.67,1.67,120
GPT-4o,Q5,0.6,5.82,-1.49,120
GPT-4o,Q6,0.723,6.86,-1.32,120
GPT-5,Q1,0.576,4.72,-1.51,120
GPT-5,Q2,0.641,3.14,0.58,120
GPT-5,Q3,0.752,2.91,-1.93,120
GPT-5,Q4,0.764,1.65,-0.44,120
GPT-5,Q5,0.731,4.87,-1.8,120
GPT-5,Q6,0.734,6.45,-0.32,120
Gemini 2.5 Flash,Q1,0.688,3.64,0.13,120
Gemini 2.5 Flash,Q2,0.782,2.53,-1.54,120
Gemini 2.5 Flash,Q3,0.74,2.83,-1.32,119
Gemini 2.5 Flash,Q4,0.696,2.02,0.34,119
Gemini 2.5 Flash,Q5,0.655,5.56,0.81,119
Gemini 2.5 Flash,Q6,0.795,6.05,-0.92,118
Gemini 2.5 Pro,Q1,0.711,3.39,-0.18,120
Gemini 2.5 Pro,Q2,0.713,2.45,0.05,120
Gemini 2.5 Pro,Q3,0.753,2.82,-1.52,120
Gemini 2.5 Pro,Q4,0.791,1.49,-1.04,120
Gemini 2.5 Pro,Q5,0.693,5.33,1.45,120
Gemini 2.5 Pro,Q6,0.791,6.09,-0.81,120
